"","id","modified","basisOfRecord","occurrenceID.x","organismQuantityType","sex","eventDate","country","scientificName","kingdom","phylum","class","order","family","vernacularName","measurementUnit","length"
"1",82132,"2019-11-20T10:12:17","HumanObservation",82132,"individual","Male",10485,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",12.79
"2",82135,"2019-11-20T10:12:17","HumanObservation",82135,"individual","Female",10485,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",14.07
"3",82275,"2019-11-20T10:12:33","HumanObservation",82275,"individual","Female",10497,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",12.79
"4",82276,"2019-11-20T10:12:33","HumanObservation",82276,"individual","Female",10497,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",14.07
"5",82277,"2019-11-20T10:12:33","HumanObservation",82277,"individual","Female",10497,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",13.43
"6",82278,"2019-11-20T10:12:34","HumanObservation",82278,"individual","Female",10497,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",14.07
"7",82279,"2019-11-20T10:12:34","HumanObservation",82279,"individual","Female",10497,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",15.03
"8",82280,"2019-11-20T10:12:34","HumanObservation",82280,"individual","Female",10497,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",15.35
"9",82281,"2019-11-20T10:12:34","HumanObservation",82281,"individual","Female",10497,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",13.43
"10",82282,"2019-11-20T10:12:34","HumanObservation",82282,"individual","Female",10497,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",15.35
"11",82283,"2019-11-20T10:12:34","HumanObservation",82283,"individual","Female",10498,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",13.43
"12",82284,"2019-11-20T10:12:34","HumanObservation",82284,"individual","Female",10498,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",15.03
"13",82285,"2019-11-20T10:12:34","HumanObservation",82285,"individual","Female",10498,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",14.07
"14",82286,"2019-11-20T10:12:34","HumanObservation",82286,"individual","Female",10498,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",13.75
"15",82287,"2019-11-20T10:12:35","HumanObservation",82287,"individual","Female",10498,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",15.66
"16",82288,"2019-11-20T10:12:35","HumanObservation",82288,"individual","Female",10498,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",15.35
"17",82289,"2019-11-20T10:12:35","HumanObservation",82289,"individual","Male",10498,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",12.79
"18",82290,"2019-11-20T10:12:35","HumanObservation",82290,"individual","Male",10498,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",14.39
"19",82291,"2019-11-20T10:12:35","HumanObservation",82291,"individual","Male",10498,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",15.35
"20",82292,"2019-11-20T10:12:35","HumanObservation",82292,"individual","Male",10498,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",11.83
"21",82293,"2019-11-20T10:12:35","HumanObservation",82293,"individual","Male",10498,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",14.07
"22",82294,"2019-11-20T10:12:35","HumanObservation",82294,"individual","Male",10499,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",14.39
"23",82295,"2019-11-20T10:12:35","HumanObservation",82295,"individual","Female",10499,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",13.75
"24",82296,"2019-11-20T10:12:36","HumanObservation",82296,"individual","Female",10499,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",13.75
"25",82297,"2019-11-20T10:12:36","HumanObservation",82297,"individual","Female",10499,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",14.07
"26",82298,"2019-11-20T10:12:36","HumanObservation",82298,"individual","Female",10499,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",11.83
"27",82299,"2019-11-20T10:12:36","HumanObservation",82299,"individual","Female",10499,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",15.35
"28",82300,"2019-11-20T10:12:36","HumanObservation",82300,"individual","Female",10500,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",13.11
"29",82301,"2019-11-20T10:12:36","HumanObservation",82301,"individual","Female",10500,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",15.03
"30",111900,"2019-11-20T10:13:23","HumanObservation",111900,"individual","Female",18502,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",13.75
"31",111897,"2019-11-20T10:13:22","HumanObservation",111897,"individual","Male",18502,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",12.79
"32",111898,"2019-11-20T10:13:22","HumanObservation",111898,"individual","Female",18502,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",13.11
"33",111899,"2019-11-20T10:13:23","HumanObservation",111899,"individual","Male",18502,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",11.51
"34",111901,"2019-11-20T10:13:23","HumanObservation",111901,"individual","Male",18502,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",12.15
"35",111902,"2019-11-20T10:13:23","HumanObservation",111902,"individual","Male",18503,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",11.83
"36",111903,"2019-11-20T10:13:23","HumanObservation",111903,"individual","Male",18503,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",13.75
"37",111904,"2019-11-20T10:13:23","HumanObservation",111904,"individual","Female",18503,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",12.79
"38",111905,"2019-11-20T10:13:23","HumanObservation",111905,"individual","Male",18503,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",11.51
"39",111906,"2019-11-20T10:13:23","HumanObservation",111906,"individual","Male",18503,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",13.75
"40",111907,"2019-11-20T10:13:23","HumanObservation",111907,"individual","Female",18504,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",11.83
"41",111908,"2019-11-20T10:13:24","HumanObservation",111908,"individual","Female",18504,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",14.39
"42",111909,"2019-11-20T10:13:24","HumanObservation",111909,"individual","Female",18504,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",13.43
"43",111910,"2019-11-20T10:13:24","HumanObservation",111910,"individual","Female",18504,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",14.07
"44",111911,"2019-11-20T10:13:24","HumanObservation",111911,"individual","Male",18504,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",11.19
"45",111912,"2019-11-20T10:13:24","HumanObservation",111912,"individual","Female",18505,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",13.43
"46",111913,"2019-11-20T10:13:24","HumanObservation",111913,"individual","Male",18505,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",12.47
"47",111914,"2019-11-20T10:13:24","HumanObservation",111914,"individual","Male",18505,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",12.15
"48",111915,"2019-11-20T10:13:24","HumanObservation",111915,"individual","Male",18505,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",12.47
"49",111916,"2019-11-20T10:13:24","HumanObservation",111916,"individual","Female",18505,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",15.03
"50",111917,"2019-11-20T10:13:25","HumanObservation",111917,"individual","Male",18507,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",13.43
"51",111918,"2019-11-20T10:13:25","HumanObservation",111918,"individual","Male",18507,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",13.75
"52",111919,"2019-11-20T10:13:25","HumanObservation",111919,"individual","Male",18507,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",13.11
"53",111920,"2019-11-20T10:13:25","HumanObservation",111920,"individual","Male",18507,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",12.47
"54",111921,"2019-11-20T10:13:25","HumanObservation",111921,"individual","Female",18508,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",13.75
"55",111922,"2019-11-20T10:13:25","HumanObservation",111922,"individual","Male",18508,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",13.43
"56",111923,"2019-11-20T10:13:25","HumanObservation",111923,"individual","Female",18508,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",12.79
"57",114090,"2019-11-20T10:14:14","HumanObservation",114090,"individual","Male",18847,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",13.11
"58",114087,"2019-11-20T10:14:13","HumanObservation",114087,"individual","Male",18846,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",11.83
"59",114088,"2019-11-20T10:14:14","HumanObservation",114088,"individual","Female",18846,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",12.79
"60",114089,"2019-11-20T10:14:14","HumanObservation",114089,"individual","Male",18846,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",11.51
"61",114091,"2019-11-20T10:14:14","HumanObservation",114091,"individual","Male",18847,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",13.11
"62",114092,"2019-11-20T10:14:14","HumanObservation",114092,"individual","Male",18847,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",12.47
"63",114093,"2019-11-20T10:14:14","HumanObservation",114093,"individual","Male",18847,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",13.11
"64",114094,"2019-11-20T10:14:14","HumanObservation",114094,"individual","Male",18847,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",13.11
"65",114095,"2019-11-20T10:14:14","HumanObservation",114095,"individual","Male",18847,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",13.43
"66",114096,"2019-11-20T10:14:15","HumanObservation",114096,"individual","Male",18848,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",13.75
"67",114097,"2019-11-20T10:14:15","HumanObservation",114097,"individual","Female",18848,"Australia","Megaptera novaeangliae","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Humpback","Metres",15.03
